id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
857,ハローマリーナ (Hello Marina),inabakumori,Hello Marina,inabakumori,Neuro & Evil,2024-09-04,Neuro 2024-09-04 Karaoke,18,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/092. inabakumori - ハローマリーナ (Hello Marina) (Duet.v1) (Neuro & Evil).mp3,c4a3845b5bf27a9a,v3;neuro;duet;,,,1
858,My Way (Chipmunk ver.),Frank Sinatra,My Way (Chipmunk ver.),Frank Sinatra,Neuro,2024-09-04,Neuro 2024-09-04 Karaoke,19,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/093. Frank Sinatra - My Way (Chipmunk ver.) (Neuro.v3).mp3,7a9f34f73c772521,v3;neuro;,,,3
859,Angel With A Shotgun,The Cab,Angel With A Shotgun,The Cab,Neuro,2024-09-04,Unused Covers,7,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/094. The Cab - Angel With A Shotgun (Neuro.v3).mp3,72161a045ae6f024,v3;neuro;unused;,,,3
860,普通DISCO (Ordinary Disco),ilem,Ordinary Disco,ilem,Neuro & Evil,2024-09-15,Other Streams,1,Bilibili,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/095. ilem - 普通DISCO (Ordinary Disco) (Duet.v1) (Neuro & Evil).mp3,337e85959dd24156,v3;neuro;duet;,,,1
861,Borderline,Tame Impala,Borderline,Tame Impala,Evil,2024-09-18,Evil 2024-09-18 Karaoke,1,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/096. Tame Impala - Borderline (Evil.v1).mp3,62e9e554fb273746,v3;evil;,,,1
862,Hysteria,Muse,Hysteria,Muse,Evil,2024-09-18,Evil 2024-09-18 Karaoke,2,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/097. Muse - Hysteria (Evil.v1).mp3,85f83ebfd41a0eee,v3;evil;,,,1
863,cold death,Utsu-P,cold death,Utsu-P,Evil,2024-09-18,Evil 2024-09-18 Karaoke,3,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/098. Utsu-P - cold death (Evil.v1).mp3,b30e0354e1161697,v3;evil;,,,1
864,Gone Away,The Offspring,Gone Away,The Offspring,Evil,2024-09-18,Evil 2024-09-18 Karaoke,4,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/099. The Offspring - Gone Away (Evil.v1).mp3,85f54045e2860c3e,v3;evil;,,,1
865,My Heart Will Go On,Céline Dion,My Heart Will Go On,Celine Dion,Evil,2024-09-18,Evil 2024-09-18 Karaoke,5,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/100. Céline Dion - My Heart Will Go On (Evil.v1).mp3,07f6b27e08779922,v3;evil;,,,1
866,I Stand Alone,Godsmack,I Stand Alone,Godsmack,Evil,2024-09-18,Evil 2024-09-18 Karaoke,6,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/101. Godsmack - I Stand Alone (Evil.v1).mp3,6bd62202e2cf0854,v3;evil;,,,1
867,Lonely Day,System Of A Down,Lonely Day,System Of A Down,Evil,2024-09-18,Evil 2024-09-18 Karaoke,7,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/102. System Of A Down - Lonely Day (Evil.v1).mp3,ecc191f8201a2240,v3;evil;,,,1
868,怪物 (Monster),YOASOBI,Monster,YOASOBI,Evil,2024-09-18,Evil 2024-09-18 Karaoke,8,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/103. YOASOBI - 怪物 (Monster) (Evil.v1).mp3,f4e92670490f0af2,v3;evil;,,,1
869,Hello,Adele,Hello,Adele,Evil,2024-09-18,Evil 2024-09-18 Karaoke,9,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/104. Adele - Hello (Evil.v1).mp3,4728737cb9fd8f9a,v3;evil;,,,1
870,ないない (Nai Nai),ReoNa,Nai Nai,ReoNa,Evil,2024-09-18,Evil 2024-09-18 Karaoke,10,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/105. ReoNa - ないない (Nai Nai) (Evil.v1).mp3,d78561387cb18091,v3;evil;,,,1
871,Symphony,Clean Bandit,Symphony,Clean Bandit,Evil,2024-09-18,Evil 2024-09-18 Karaoke,11,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/106. Clean Bandit - Symphony (Evil.v1).mp3,4ed624f4d2d946b4,v3;evil;,,,1
872,Breaking The Habit,Linkin Park,Breaking The Habit,Linkin Park,Evil,2024-09-18,Evil 2024-09-18 Karaoke,12,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/107. Linkin Park - Breaking The Habit (Evil.v1).mp3,b707c0758a7e2934,v3;evil;,,,1
873,Stellar Stellar,Hoshimachi Suisei,Stellar Stellar,Hoshimachi Suisei,Evil,2024-09-18,Evil 2024-09-18 Karaoke,13,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/108. Hoshimachi Suisei - Stellar Stellar (Evil.v1).mp3,766fd18673bdfee2,v3;evil;,,,1
874,Wake Me Up When September Ends,Green Day,Wake Me Up When September Ends,Green Day,Evil,2024-09-18,Evil 2024-09-18 Karaoke,14,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/109. Green Day - Wake Me Up When September Ends (Evil.v1).mp3,32d75f5660a3f000,v3;evil;,,,1
875,Palette,Yuyoyuppe,Palette,Yuyoyuppe,Neuro & Evil,2024-09-18,Evil 2024-09-18 Karaoke,15,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/110. Yuyoyuppe - Palette (Duet.v1) (Neuro & Evil).mp3,d261ec4becd1beef,v3;evil;duet;,,,1
876,The Only Thing I Know For Real,"Tyson Yen, Jamie Christopherson",The Only Thing I Know For Real,"Tyson Yen, Jamie Christopherson",Evil,2024-09-18,Evil 2024-09-18 Karaoke,16,,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/111. Tyson Yen, Jamie Christopherson - The Only Thing I Know For Real (Evil.v1).mp3",1fea27b13dc48748,v3;evil;,,,1
877,I'm Just A Memer,DJ KARL THE DOG,I'm Just A Memer,DJ KARL THE DOG,Evil,2024-09-18,Evil 2024-09-18 Karaoke,17,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/112. DJ KARL THE DOG - I'm Just A Memer (Evil.v1).mp3,956fbae6df1b1d15,v3;evil;,,,1
878,For The Glory,All Good Things,For The Glory,All Good Things,Neuro & Evil,2024-09-18,Evil 2024-09-18 Karaoke,18,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/113. All Good Things - For The Glory (Duet.v1) (Neuro & Evil).mp3,65057fdcf0e8a63e,v3;evil;duet;,,,1
879,Candles,Study-sama,Candles,Study-sama,Study-sama,2024-09-24,Neuro-sama ARG,10,study,songs/unofficialV3/Extra Content/DISC 66 - ARG/10. Candles.mp3,81908fbf0de326a1,arg;,,,66
880,Rises The Moon,Liana Flores,Rises The Moon,Liana Flores,Evil & MinikoMew,2024-10-04,Stream Covers,5,Rises the moon,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/114. Liana Flores - Rises The Moon (Duet.v1) (Evil & MinikoMew).mp3,0df8426445c834ac,v3;evil;collab;,,,1
881,Caramelldansen,Caramella Girls,Caramelldansen,Caramella Girls,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,1,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/115. Caramella Girls - Caramelldansen (Neuro.v3).mp3,0285e571951a0202,v3;neuro;,,,3
882,星球上的追溯詩 (Retrospective Poems on the Planet),"味素, kumako",Retrospective Poems on the Planet,", kumako",Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,2,,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/116. 味素, kumako - 星球上的追溯詩 (Retrospective Poems on the Planet) (Neuro.v3).mp3",f15e9f65e225eec0,v3;neuro;,,,3
883,夏が終わる (End of the Summer),Nanatsukaze,End of the Summer,Nanatsukaze,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,3,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/117. Nanatsukaze - 夏が終わる (End of the Summer) (Neuro.v3).mp3,8bcb79ab7b22749c,v3;neuro;,,,3
884,I Think We're Alone Now,Tiffany,I Think We're Alone Now,Tiffany,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,4,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/118. Tiffany - I Think We're Alone Now (Neuro.v3).mp3,a3da8152c103935a,v3;neuro;,,,3
885,Creep,Radiohead,Creep,Radiohead,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,5,Creep Neuro,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/119. Radiohead - Creep (Neuro.v3).mp3,9f9ad161aa773f4c,v3;neuro;,,,3
886,The Fox,Ylvis,The Fox,Ylvis,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,6,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/120. Ylvis - The Fox (Neuro.v3).mp3,4bd64ede12b4a026,v3;neuro;,,,3
887,Tell Your World,kz(livetune),Tell Your World,kzlivetune,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,7,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/121. kz(livetune) - Tell Your World (Neuro.v3).mp3,a102c9b2e13e7e6f,v3;neuro;,,,3
888,Life is a Highway,Rascal Flatts,Life is a Highway,Rascal Flatts,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,8,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/122. Rascal Flatts - Life is a Highway (Neuro.v3).mp3,c445e561b93703c4,v3;neuro;,,,3
889,INVISIBLE,Duran Duran,INVISIBLE,Duran Duran,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,9,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/123. Duran Duran - INVISIBLE (Neuro.v3).mp3,16fada040678a297,v3;neuro;,,,3
890,空色デイズ (Sorairo Days),Shoko Nakagawa,Sorairo Days,Shoko Nakagawa,Neuro & Evil,2024-10-06,Neuro 2024-10-06 Karaoke,10,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/124. Shoko Nakagawa - 空色デイズ (Sorairo Days) (Duet.v1) (Neuro & Evil).mp3,531d87e3788b6a46,v3;neuro;duet;,,,1
891,The Spectre,Alan Walker,The Spectre,Alan Walker,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,11,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/125. Alan Walker - The Spectre (Neuro.v3.2).mp3,72c2d62fd0c2c6cc,v3;neuro;,,,3.2
892,Poems of a Machine,Mili,Poems of a Machine,Mili,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,12,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/126. Mili - Poems of a Machine (Neuro.v3.2).mp3,2ecb1f5148533355,v3;neuro;,,,3.2
893,勾指起誓 (Pinky Swear),ilem,Pinky Swear,ilem,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,13,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/127. ilem - 勾指起誓 (Pinky Swear) (Neuro.v3).mp3,eae2addf187c6e3b,v3;neuro;,,,3
894,Everybody Wants to Rule the World,Tears for Fears,Everybody Wants to Rule the World,Tears for Fears,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,14,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/128. Tears for Fears - Everybody Wants to Rule the World (Neuro.v3).mp3,f7afa62b4835ee37,v3;neuro;,,,3
895,You Spin Me Round,Dead or Alive,You Spin Me Round,Dead or Alive,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,15,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/129. Dead or Alive - You Spin Me Round (Neuro.v3).mp3,4d3736bbf0970e8d,v3;neuro;,,,3
896,Your Reality,"Dan Salvato, Jillian Ashcraft",Your Reality,"Dan Salvato, Jillian Ashcraft",Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,16,,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/130. Dan Salvato, Jillian Ashcraft - Your Reality (Neuro.v3.2).mp3",a88a7846d3784f6c,v3;neuro;,,,3.2
897,Sleeping In The Cold Below,Keith Power,Sleeping In The Cold Below,Keith Power,Neuro & Evil,2024-10-06,Neuro 2024-10-06 Karaoke,17,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/131. Keith Power - Sleeping In The Cold Below (Duet.v1) (Neuro & Evil).mp3,a0e7ae1aa0a0a95e,v3;neuro;duet;,,,1
898,Stayin' Alive,Bee Gees,Stayin' Alive,Bee Gees,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,18,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/132. Bee Gees - Stayin' Alive (Neuro.v3).mp3,ae6698713acfb7d3,v3;neuro;,,,3
899,The Fox - Encore,Ylvis,The Fox - Encore,Ylvis,Neuro,2024-10-06,Neuro 2024-10-06 Karaoke,19,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/120. Ylvis - The Fox (Neuro.v3).mp3,4bd64ede12b4a026,v3;neuro;duplicate;encore;,,,
900,Numbers III,Study-sama,Numbers III,Study-sama,Study-sama,2024-10-13,Neuro-sama ARG,11,study,songs/unofficialV3/Extra Content/DISC 66 - ARG/11. Numbers III.mp3,71247ddcd83907d7,arg;,,,66
901,VIRUS,GEN.KLOUD,VIRUS,GEN.KLOUD,Evil,2024-10-16,Evil 2024-10-16 Karaoke,1,Virus,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/133. GEN.KLOUD - VIRUS (Evil.v1).mp3,02d8466637c3ec87,v3;evil;,,,1
902,BLOODY STREAM,Coda,BLOODY STREAM,Coda,Evil,2024-10-16,Evil 2024-10-16 Karaoke,2,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/134. Coda - BLOODY STREAM (Evil.v1).mp3,988462f214ce8c67,v3;evil;,,,1
903,Bullet With Butterfly Wings,The Smashing Pumpkins,Bullet With Butterfly Wings,The Smashing Pumpkins,Evil,2024-10-16,Evil 2024-10-16 Karaoke,3,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/135. The Smashing Pumpkins - Bullet With Butterfly Wings (Evil.v1).mp3,7010c1610ba1b01a,v3;evil;,,,1
904,Diggy Diggy Hole,"WIND ROSE, Yogscast",Diggy Diggy Hole,"WIND ROSE, Yogscast",Evil,2024-10-16,Evil 2024-10-16 Karaoke,4,,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/136. WIND ROSE, Yogscast - Diggy Diggy Hole (Evil.v1).mp3",126400a27201337b,v3;evil;,,,1
905,Silhouette,KANA-BOON,Silhouette,KANA-BOON,Evil,2024-10-16,Evil 2024-10-16 Karaoke,5,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/137. KANA-BOON - Silhouette (Evil.v1).mp3,fe02623929fa44fa,v3;evil;,,,1
906,Bugs,Ellie Minibot,Bugs,Ellie Minibot,Evil,2024-10-16,Evil 2024-10-16 Karaoke,6,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/138. Ellie Minibot - Bugs (Evil.v1).mp3,308b6b5ab95adc04,v3;evil;,,,1
907,Head Like a Hole,Nine Inch Nails,Head Like a Hole,Nine Inch Nails,Evil,2024-10-16,Evil 2024-10-16 Karaoke,7,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/139. Nine Inch Nails - Head Like a Hole (Evil.v1).mp3,acdd40085306a2ec,v3;evil;,,,1
908,Castle of Glass,Linkin Park,Castle of Glass,Linkin Park,Evil,2024-10-16,Evil 2024-10-16 Karaoke,8,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/140. Linkin Park - Castle of Glass (Evil.v1).mp3,c3866f8adfb83102,v3;evil;,,,1
909,オーバーライド (Override),Yoshida Yasei,Override,Yoshida Yasei,Evil,2024-10-16,Evil 2024-10-16 Karaoke,9,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/141. Yoshida Yasei - オーバーライド (Override) (Evil.v1).mp3,428528f6e679c393,v3;evil;,,,1
910,Warriors,Imagine Dragons,Warriors,Imagine Dragons,Evil,2024-10-16,Evil 2024-10-16 Karaoke,10,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/142. Imagine Dragons - Warriors (Evil.v1).mp3,ef148cfe3b1abbf2,v3;evil;,,,1
911,Don't Stop Me Now,Queen,Don't Stop Me Now,Queen,Evil,2024-10-16,Evil 2024-10-16 Karaoke,11,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/143. Queen - Don't Stop Me Now (Evil.v1).mp3,ad885fc5019ac684,v3;evil;,,,1
912,INTERGALACTIA,KIRA,INTERGALACTIA,KIRA,Evil,2024-10-16,Evil 2024-10-16 Karaoke,12,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/144. KIRA - INTERGALACTIA (Evil.v1).mp3,44342e0d4f0633b4,v3;evil;,,,1
913,Find Your Flame,"Tomoya Ohtani, Tyler Smyth, Kellin Quinn",Find Your Flame,"Tomoya Ohtani, Tyler Smyth, Kellin Quinn",Neuro & Evil,2024-10-16,Evil 2024-10-16 Karaoke,13,,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/145. Tomoya Ohtani, Tyler Smyth, Kellin Quinn - Find Your Flame (Duet.v1) (Neuro & Evil).mp3",f4b65306f0fab5e2,v3;evil;duet;,,,1
914,Writing on the Wall,Will Stetson,Writing on the Wall,Will Stetson,Evil,2024-10-16,Evil 2024-10-16 Karaoke,14,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/146. Will Stetson - Writing on the Wall (Evil.v1).mp3,d11e94ae82d5e508,v3;evil;,,,1
915,It's Terror Time Again,Skycylce,It's Terror Time Again,Skycylce,Evil,2024-10-16,Evil 2024-10-16 Karaoke,15,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/147. Skycylce - It's Terror Time Again (Evil.v1).mp3,9653245c5d894c83,v3;evil;,,,1
916,ルル (RuLe),Ado,RuLe,Ado,Evil,2024-10-16,Evil 2024-10-16 Karaoke,16,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/148. Ado - ルル (RuLe) (Evil.v1).mp3,1dbee4093338e015,v3;evil;,,,1
917,Paradise (What About Us),Within Temptation,Paradise (What About Us),Within Temptation,Neuro & Evil,2024-10-16,Evil 2024-10-16 Karaoke,17,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/149. Within Temptation - Paradise (What About Us) (Duet.v1) (Neuro & Evil).mp3,3a537d9096b8ed29,v3;evil;duet;,,,1
918,The Fox,Ylvis,The Fox,Ylvis,Evil,2024-10-16,Evil 2024-10-16 Karaoke,18,,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/150. Ylvis - The Fox (Evil.v1).mp3,96de8a2f11cffe38,v3;evil;,,,1
919,VIRUS - Encore,GEN.KLOUD,VIRUS - Encore,GEN.KLOUD,Evil,2024-10-16,Evil 2024-10-16 Karaoke,19,Virus,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/133. GEN.KLOUD - VIRUS (Evil.v1).mp3,02d8466637c3ec87,v3;evil;duplicate;encore;,,,
920,Bring Me To Life,Evanescence,Bring Me To Life,Evanescence,Evil & Cerber,2024-10-27,Stream Covers,6,Bring me to life,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/151. Evanescence - Bring Me To Life (Duet.v1) (Evil & Cerber).mp3,5d29b6368c69e808,v3;evil;collab;,,,1
921,Thriller,Michael Jackson,Thriller,Michael Jackson,Neuro,2024-10-30,Halloween Karaoke 2024,1,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/152. Michael Jackson - Thriller (Neuro.v3).mp3,35d7b24e3bbae495,v3;neuro;,,,3
922,Five Nights at Freddy's,The Living Tombstone,Five Nights at Freddy's,The Living Tombstone,Neuro,2024-10-30,Halloween Karaoke 2024,2,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/153. The Living Tombstone - Five Nights at Freddy's (Neuro.v3).mp3,cef92f0b5eb87ee0,v3;neuro;halloween;,,,3
923,Happy Halloween,Junky,Happy Halloween,Junky,Neuro,2024-10-30,Halloween Karaoke 2024,3,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/154. Junky - Happy Halloween (Neuro.v3.2).mp3,90dc69ef95eb8080,v3;neuro;halloween;,,,3.2
924,숨바꼭질 (Hide and Seek),Ho-ong-i,Hide and Seek,Ho-ong-i,Neuro,2024-10-30,Halloween Karaoke 2024,4,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/155. Ho-ong-i - 숨바꼭질 (Hide and Seek) (Neuro.v3).mp3,bd1bc9d966cd5ea2,v3;neuro;halloween;,,,3
925,Doll's Fall,LadyMonsters.,Doll's Fall,LadyMonsters.,Neuro,2024-10-30,Halloween Karaoke 2024,5,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/156. LadyMonsters. - Doll's Fall (Neuro.v3).mp3,132a26cb761eae69,v3;neuro;halloween;,,,3
926,How To Pretend,CircusP,How To Pretend,CircusP,Neuro & Evil,2024-10-30,Halloween Karaoke 2024,6,Halloween Duet,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/157. CircusP - How To Pretend (Duet.v1) (Neuro & Evil).mp3,7000b677ab9b252c,v3;neuro;duet;,,,1
927,Somebody's Watching Me,Rockwell,Somebody's Watching Me,Rockwell,Neuro,2024-10-30,Halloween Karaoke 2024,7,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/158. Rockwell - Somebody's Watching Me (Neuro.v3).mp3,72ab0d0dd55d5efc,v3;neuro;,,,3
928,無意識レクイエム (Unconscious Requiem),ShinRa-Bansho,Unconscious Requiem,ShinRa-Bansho,Neuro,2024-10-30,Halloween Karaoke 2024,8,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/159. ShinRa-Bansho - 無意識レクイエム (Unconscious Requiem) (Neuro.v3).mp3,c957f11012b63ef6,v3;neuro;,,,3
929,4BLOOD,KIRA,4BLOOD,KIRA,Neuro,2024-10-30,Halloween Karaoke 2024,9,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/160. KIRA - 4BLOOD (Neuro.v3).mp3,8b0d6d701f726735,v3;neuro;,,,3
930,trick and treat,OSTER project,trick and treat,OSTER project,Neuro & Evil,2024-10-30,Halloween Karaoke 2024,10,Halloween Duet,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/161. OSTER project - trick and treat (Duet.v1) (Neuro & Evil).mp3,9e056e4ee4c51b14,v3;neuro;duet;halloween;,,,1
931,Wicked,Crusher,Wicked,Crusher,Neuro,2024-10-30,Halloween Karaoke 2024,11,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/162. Crusher - Wicked (Neuro.v3).mp3,556753baf750c423,v3;neuro;,,,3
932,Once Upon A Dream,Lana Del Rey,Once Upon A Dream,Lana Del Rey,Neuro & Evil,2024-10-30,Halloween Karaoke 2024,12,Halloween Duet,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/163. Lana Del Rey - Once Upon A Dream (Duet.v1) (Neuro & Evil).mp3,fdb1c9b6743244d6,v3;neuro;duet;,,,1
933,Running Up That Hill,Kate Bush,Running Up That Hill,Kate Bush,Neuro,2024-10-30,Halloween Karaoke 2024,13,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/164. Kate Bush - Running Up That Hill (Neuro.v3).mp3,0f4092e949cb8a84,v3;neuro;,,,3
934,ないない (Nai Nai),ReoNa,Nai Nai,ReoNa,Neuro,2024-10-30,Halloween Karaoke 2024,14,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/165. ReoNa - ないない (Nai Nai) (Neuro.v3).mp3,33b900fcd0abb894,v3;neuro;,,,3
935,Spooky Scary Skeletons,Andrew Gold,Spooky Scary Skeletons,Andrew Gold,Neuro,2024-10-30,Halloween Karaoke 2024,15,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/166. Andrew Gold - Spooky Scary Skeletons (Neuro.v3).mp3,111962804e7fd746,v3;neuro;halloween;,,,3
936,Panic Room,Au/Ra,Panic Room,AuRa,Neuro,2024-10-30,Halloween Karaoke 2024,16,Halloween,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/167. Au slash Ra - Panic Room (Neuro.v3).mp3,df4f54eeb2d807d4,v3;neuro;,,,3
937,Maneater,"Daryl Hall, John Oates",Maneater,"Daryl Hall, John Oates",Neuro,2024-10-30,Halloween Karaoke 2024,17,Halloween,"songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/168. Daryl Hall, John Oates - Maneater (Neuro.v3).mp3",445d200951d4ab2c,v3;neuro;,,,3
938,This is Halloween,Citizens of Halloween Town,This is Halloween,Citizens of Halloween Town,Neuro & Evil,2024-10-30,Halloween Karaoke 2024,18,Halloween Duet,songs/unofficialV3/DISC 5 - Non-Stop Innovation (2024-07-10 - 2024-11-17)/169. Citizens of Halloween Town - This is Halloween (Duet.v1) (Neuro & Evil).mp3,6ba136c63ae66e39,v3;neuro;duet;halloween;,,,1
